Account ID,Account Type,Account Age,KYC Status,Historical Fraud Involvement
ACC1,personal,1065,1,0
ACC2,personal,1056,1,0
ACC3,personal,1282,1,0
ACC4,personal,1002,1,0
ACC5,personal,1539,1,0
ACC6,personal,2470,1,0
ACC7,personal,2307,1,0
ACC8,personal,663,1,0
ACC9,personal,1226,1,0
ACC10,personal,1537,1,0
ACC11,personal,2480,1,0
ACC12,personal,3115,1,0
ACC13,personal,2785,1,0
ACC14,business,1027,1,0
ACC15,personal,1776,1,0
ACC16,personal,1854,1,0
ACC17,personal,291,1,0
ACC18,personal,1553,1,0
ACC19,business,3057,1,0
ACC20,personal,3357,1,0
ACC21,personal,1235,1,0
ACC22,personal,2217,1,0
ACC23,business,1830,0,0
ACC24,personal,2760,1,0
ACC25,personal,1605,1,0
ACC26,personal,2668,1,1
ACC27,personal,1206,1,0
ACC28,personal,117,1,0
ACC29,personal,3418,1,0
ACC30,personal,1083,0,0
ACC31,personal,1921,1,0
ACC32,personal,2306,1,0
ACC33,personal,670,0,0
ACC34,business,3407,1,0
ACC35,personal,1510,1,0
ACC36,personal,3435,1,0
ACC37,personal,415,1,0
ACC38,personal,2623,1,0
ACC39,business,520,1,0
ACC40,personal,74,1,0
ACC41,personal,1018,0,0
ACC42,personal,1601,1,0
ACC43,personal,285,1,0
ACC44,personal,1339,1,0
ACC45,personal,3293,1,0
ACC46,personal,570,1,0
ACC47,personal,2771,1,0
ACC48,business,766,0,0
ACC49,personal,1090,1,0
ACC50,personal,1527,1,0
ACC51,personal,1698,1,0
ACC52,business,1286,1,0
ACC53,personal,1803,1,0
ACC54,personal,236,1,0
ACC55,personal,3079,1,0
ACC56,personal,3371,1,0
ACC57,personal,2848,1,0
ACC58,business,3493,1,1
ACC59,personal,2620,1,0
ACC60,personal,870,1,0
ACC61,personal,222,1,0
ACC62,personal,1944,1,0
ACC63,personal,2878,1,0
ACC64,personal,2164,1,0
ACC65,business,357,1,0
ACC66,personal,829,1,0
ACC67,personal,2251,1,0
ACC68,personal,1083,1,0
ACC69,personal,892,1,0
ACC70,business,2110,0,0
ACC71,personal,2486,1,0
ACC72,personal,272,1,0
ACC73,personal,3013,1,0
ACC74,personal,2848,0,0
ACC75,personal,1211,1,0
ACC76,personal,995,0,0
ACC77,personal,3059,0,0
ACC78,personal,2388,1,0
ACC79,personal,3447,1,0
ACC80,personal,876,1,0
ACC81,personal,3506,1,0
ACC82,personal,3605,1,0
ACC83,personal,3285,1,0
ACC84,business,321,1,0
ACC85,personal,2220,1,0
ACC86,personal,1281,1,0
