Source Node ID,Destination Node ID,Total_Transactions,Total_Amount,Average_Amount,Last_Transaction_Time,Is_Fraud,Community_ID,Edge_Risk_Score
A00039,A00046,27,28685.329153693852,1062.4195982849576,2022-07-30 04:38:36,0,4,0.9724996553468962
A00008,A00067,8,24737.31840863973,3092.1648010799663,2022-12-18 21:33:31,1,32,0.9039735824670672
A00065,A00080,91,5391.558471189628,59.24789528779811,2022-02-14 03:06:30,0,39,0.5659373555080516
A00154,A00012,6,1331.0325555330962,221.83875925551604,2023-08-28 14:30:32,0,17,0.4523428757424893
A00047,A00031,37,38378.25456539095,1037.2501233889445,2022-12-06 02:35:06,0,32,0.23053652086618315
A00135,A00041,20,45085.792937990795,2254.2896468995395,2023-08-23 12:46:19,0,30,0.6160401475583586
A00007,A00022,26,25351.723723255433,975.0662970482858,2022-08-20 13:32:00,0,14,0.324048422631961
A00093,A00003,32,22962.740869330486,717.5856521665777,2023-10-26 17:48:29,0,43,0.9585573091052176
A00112,A00178,6,24492.1672785279,4082.0278797546503,2022-06-13 09:59:31,0,49,0.40042650427967985
A00062,A00183,34,3990.0251881326026,117.35368200390008,2023-12-20 07:01:12,0,45,0.21439099901713765
A00042,A00122,66,32175.836384767226,487.5126724964731,2022-05-09 02:37:14,0,18,0.04182363576395487
A00073,A00160,90,33311.75747092193,370.13063856579925,2023-12-21 22:50:19,0,41,0.3070133978070896
A00155,A00198,36,33223.88220517073,922.8856168102981,2022-05-05 13:15:47,0,22,0.8482607481877146
A00075,A00008,96,9482.404928054595,98.77505133390203,2023-02-05 00:47:21,0,13,0.7268723756329337
A00186,A00033,25,37857.83326163668,1514.3133304654673,2023-08-24 05:01:32,0,29,0.5938860046611374
A00075,A00020,74,19087.4861224982,257.9390016553811,2022-11-22 06:09:16,0,5,0.32796578624215666
A00005,A00191,49,11303.851567453812,230.69084831538393,2022-06-11 13:20:11,0,47,0.21805273809384706
A00181,A00194,61,18010.868232723282,295.2601349626768,2023-03-19 22:00:57,0,7,0.07516478315433817
A00065,A00079,23,4042.0082529393517,175.73948925823268,2023-07-31 20:00:13,0,10,0.5846354403267744
A00170,A00060,56,7506.78489838917,134.04973032837805,2023-02-25 03:01:49,0,1,0.8118684206885801
A00066,A00139,75,38037.03305312046,507.1604407082728,2023-11-14 12:06:21,0,16,0.7745615828264829
A00159,A00005,34,3822.0955611062163,112.41457532665342,2023-07-01 17:25:35,0,29,0.14948685004688167
A00090,A00137,77,11108.389027355155,144.26479256305396,2022-01-20 14:01:43,0,33,0.40885948614123135
A00140,A00060,95,25015.857291277163,263.3248135923912,2023-10-24 17:05:11,0,22,0.4184620449786095
A00047,A00111,59,47984.29959447746,813.2932134657196,2022-01-01 11:24:22,0,27,0.5250962642604701
A00012,A00127,1,18791.236929239,18791.236929239,2022-11-12 08:09:53,0,5,0.7483225962593762
A00066,A00149,81,17477.73129775573,215.77446046612013,2022-04-27 11:12:49,0,19,0.9801590426370262
A00126,A00159,13,21752.985998837456,1673.306615295189,2022-01-09 20:35:44,0,37,0.5080040151893105
A00175,A00030,88,38552.30556259202,438.0943813930911,2022-01-12 14:50:21,0,4,0.603416232708848
A00143,A00044,79,11648.547055043824,147.44996272207374,2022-11-12 09:38:19,0,1,0.9794585258852713
A00116,A00011,46,5674.8412945798,123.36611509956087,2022-06-20 14:53:54,0,46,0.5950367773532426
A00098,A00134,75,40445.87216065613,539.2782954754151,2023-12-13 18:04:51,0,30,0.3910264170146267
A00146,A00130,6,23118.042448929158,3853.007074821526,2022-05-23 15:53:14,0,16,0.4565353989321219
A00046,A00159,73,43305.390215049054,593.2245234938226,2023-10-06 16:29:19,0,25,0.042715593279933795
A00050,A00199,42,20439.24542570321,486.6487006119812,2023-01-08 17:27:53,0,22,0.2694672543502131
A00088,A00044,5,41821.09104247092,8364.218208494185,2023-06-15 07:49:24,0,40,0.053037567988020395
A00066,A00135,21,18161.1458012187,864.8164667246999,2023-02-15 05:14:59,0,47,0.4656338366905203
A00114,A00189,15,36099.231227077944,2406.6154151385294,2022-12-24 01:39:42,0,45,0.7419423510061119
A00111,A00171,17,42394.09690136671,2493.7704059627476,2022-07-27 21:06:02,0,36,0.9492275614053933
